stt,name,content,Type
1,Ackermann,"A-Achtsam, C-Charakterstark, K-Kraftvoll, E-Echt, R-Respektvoll, M-Menschlich, A-Aufrichtig, N-Nahbar, N-Natürlich",
2,Adam,"A-Achtsam, D-Dankbar, A-Aufrichtig, M-Menschlich",
3,Adler,"A-Achtsam, D-Dankbar, L-Liebevoll, E-Echt, R-Respektvoll",
4,Ahrens,"A-Achtsam, H-Herzlich, R-Respektvoll, E-Echt, N-Nahbar, S-Stark",
5,Albers,"A-Achtsam, L-Liebevoll, B-Beständig, E-Echt, R-Respektvoll, S-Stark",
6,Albert,"A-Achtsam, L-Liebevoll, B-Beständig, E-Echt, R-Respektvoll, T-Treu",
7,Albrecht,"A-Achtsam, L-Liebevoll, B-Beständig, R-Respektvoll, E-Echt, C-Charakterstark, H-Herzlich, T-Treu",
8,Altmann,"A-Achtsam, L-Liebevoll, T-Treu, M-Menschlich, A-Aufrichtig, N-Nahbar, N-Natürlich",
9,Anders,"A-Achtsam, N-Nahbar, D-Dankbar, E-Echt, R-Respektvoll, S-Stark",
10,Appel,"A-Achtsam, P-Positiv, P-Präsent, E-Echt, L-Liebevoll",
11,Arndt,"A-Achtsam, R-Respektvoll, N-Nahbar, D-Dankbar, T-Treu",
12,Arnold,"A-Achtsam, R-Respektvoll, N-Nahbar, O-Offen, L-Liebevoll, D-Dankbar",
13,Auer,"A-Achtsam, U-Unkompliziert, E-Echt, R-Respektvoll",
14,Bach,"B-Beständig, A-Achtsam, C-Charakterstark, H-Herzlich",
15,Bachmann,"B-Beständig, A-Achtsam, C-Charakterstark, H-Herzlich, M-Menschlich, A-Aufrichtig, N-Nahbar, N-Natürlich",
16,Bader,"B-Beständig, A-Achtsam, D-Dankbar, E-Echt, R-Respektvoll",
17,Baier,"B-Beständig, A-Achtsam, I-Innig, E-Echt, R-Respektvoll",
18,Bartels,"B-Beständig, A-Achtsam, R-Respektvoll, T-Treu, E-Echt, L-Liebevoll, S-Stark",
19,Barth,"B-Beständig, A-Achtsam, R-Respektvoll, T-Treu, H-Herzlich",
20,Barthel,"B-Beständig, A-Achtsam, R-Respektvoll, T-Treu, H-Herzlich, E-Echt, L-Liebevoll",
21,Bartsch,"B-Beständig, A-Achtsam, R-Respektvoll, T-Treu, S-Stark, C-Charakterstark, H-Herzlich",
22,Bauer,"B-Beständig, A-Achtsam, U-Unkompliziert, E-Echt, R-Respektvoll",
23,Baum,"B-Beständig, A-Achtsam, U-Unkompliziert, M-Menschlich",
24,Baumann,"B-Beständig, A-Achtsam, U-Unkompliziert, M-Menschlich, A-Aufrichtig, N-Nahbar, N-Natürlich",
25,Baumgartner,"B-Beständig, A-Achtsam, U-Unkompliziert, M-Menschlich, G-Geliebt, A-Aufrichtig, R-Respektvoll, T-Treu, N-Nahbar, E-Echt, R-Ruhig",
26,Baur,"B-Beständig, A-Achtsam, U-Unkompliziert, R-Respektvoll",
